Process ID: [2421855] | Arguments:
    all_files: True
    file: Bio-Medical
    model: llama-2-7b-chat-hf
    temperature: 1.0
    top_p: 1.0
    early_stopping: False
    do_sample: False
    num_beams: 1
    top_k: 50
    data_dir: ./prompt_response/prompt_improvement/human_detailed/llama-2-7b-chat-hf/
    save_dir: ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/
    assist_model: gpt-4
    prompt_path: ./prompt/generate_fact_ins.txt
Process ID: [2421855] | Loading data from ./prompt_response/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json | Total 200
Process ID: [2421855] | Loading exist data from ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json | Total 14
   0%|                                                                       | 0/186 [00:00<?, ?it/s]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 14 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
   1%|▎                                                              | 1/186 [00:10<31:37, 10.26s/it]   1%|▋                                                              | 2/186 [00:24<38:13, 12.46s/it]Process ID: [2421855] | Model: llama-2-7b-chat-hf | File: Bio-Medical | Saving 16 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Bio-Medical.json
 60%|████████████████████████████████████▎                        | 119/200 [05:56<03:24,  2.52s/it] 60%|████████████████████████████████████▌                        | 120/200 [06:00<03:56,  2.96s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 120 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Open-Domain.json
 60%|████████████████████████████████████▉                        | 121/200 [06:03<04:00,  3.05s/it] 61%|█████████████████████████████████████▏                       | 122/200 [06:07<04:00,  3.08s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 122 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Open-Domain.json
 62%|█████████████████████████████████████▌                       | 123/200 [06:07<03:04,  2.40s/it] 62%|█████████████████████████████████████▊                       | 124/200 [06:12<03:47,  3.00s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 124 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Open-Domain.json
 62%|██████████████████████████████████████▏                      | 125/200 [06:15<03:44,  2.99s/it] 63%|██████████████████████████████████████▍                      | 126/200 [06:17<03:18,  2.69s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 126 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Open-Domain.json
 64%|██████████████████████████████████████▋                      | 127/200 [06:29<06:41,  5.50s/it] 64%|███████████████████████████████████████                      | 128/200 [06:31<05:35,  4.65s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 128 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Open-Domain.json
 64%|███████████████████████████████████████▎                     | 129/200 [06:34<04:51,  4.11s/it] 65%|███████████████████████████████████████▋                     | 130/200 [06:38<04:38,  3.98s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 130 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Open-Domain.json
 66%|███████████████████████████████████████▉                     | 131/200 [06:39<03:38,  3.17s/it] 66%|████████████████████████████████████████▎                    | 132/200 [06:40<02:48,  2.48s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 132 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Open-Domain.json
 66%|████████████████████████████████████████▌                    | 133/200 [06:42<02:27,  2.21s/it] 67%|████████████████████████████████████████▊                    | 134/200 [06:45<02:51,  2.59s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 134 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Open-Domain.json
 68%|█████████████████████████████████████████▏                   | 135/200 [06:51<03:45,  3.46s/it] 68%|█████████████████████████████████████████▍                   | 136/200 [06:52<02:52,  2.70s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 136 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Open-Domain.json
 68%|█████████████████████████████████████████▊                   | 137/200 [06:58<04:02,  3.85s/it] 69%|██████████████████████████████████████████                   | 138/200 [07:02<03:53,  3.77s/it]Process ID: [2457273] | Model: llama-2-7b-chat-hf | File: Open-Domain | Saving 138 items to ./fact/prompt_improvement/human_detailed/llama-2-7b-chat-hf/Open-Domain.json
